44|"AB1"|65
45|"AB1"|67
46|"AB1"|68
47|"AB1"|69
48|"AB1"|70
78|"AB1"|101
134|"AB1"|171
141|"AB1"|179
205|"AB1"|267
216|"AB1"|281
384|"AB1"|514
532|"AB1"|8555
1472|"AB1"|10288
1574|"AB1"|10448
1590|"AB1"|10470
1733|"AB1"|10642
1773|"AB1"|10697
3454|"AB1"|332
3457|"AB1"|427
3458|"AB1"|424
3499|"AB1"|10008
3633|"AB1"|11784
3700|"AB1"|11799
5186|"AB1"|12294
243|"AB13"|314
244|"AB13"|315
422|"AB13"|2539
936|"AB13"|9270
1014|"AB13"|9398
1644|"AB13"|10532
2042|"AB13"|10985
5242|"AB13"|12326
5478|"AB13"|12544
5731|"AB13"|12376
27|"AB4"|38
28|"AB4"|39
29|"AB4"|40
30|"AB4"|41
68|"AB4"|91
149|"AB4"|196
180|"AB4"|232
191|"AB4"|244
213|"AB4"|277
214|"AB4"|278
258|"AB4"|334
342|"AB4"|446
775|"AB4"|9006
1051|"AB4"|9455
1220|"AB4"|9757
1267|"AB4"|9841
1272|"AB4"|9848
1348|"AB4"|10023
1536|"AB4"|10394
1584|"AB4"|10462
1586|"AB4"|10465
1858|"AB4"|10787
1940|"AB4"|10870
1945|"AB4"|10877
1947|"AB4"|10879
2029|"AB4"|10970
3473|"AB4"|8710
3502|"AB4"|10199
3527|"AB4"|10572
3537|"AB4"|10872
3588|"AB4"|11779
4270|"AB4"|12094
5199|"AB4"|12301
5201|"AB4"|12302
5203|"AB4"|12303
5223|"AB4"|12314
5773|"AB4"|12766
143|"AB10"|182
204|"AB10"|266
215|"AB10"|279
241|"AB10"|312
242|"AB10"|313
561|"AB10"|8602
677|"AB10"|8840
782|"AB10"|9015
822|"AB10"|9075
860|"AB10"|9136
1093|"AB10"|9524
1124|"AB10"|9573
1298|"AB10"|9900
1333|"AB10"|9999
1621|"AB10"|10506
1643|"AB10"|10531
1679|"AB10"|10578
1950|"AB10"|10882
2035|"AB10"|10978
2036|"AB10"|10979
2037|"AB10"|10980
2038|"AB10"|10981
5236|"AB10"|12322
4312|"C1"|9606
4543|"C1"|10855
4544|"C1"|10830
4545|"C1"|11785
4546|"C1"|10831
4547|"C1"|10861
4548|"C1"|10858
4549|"C1"|10991
4550|"C1"|10585
4551|"C1"|9774
4552|"C1"|10832
4553|"C1"|9295
4554|"C1"|10901
4555|"C1"|10829
4556|"C1"|10838
4557|"C1"|10837
4558|"C1"|10863
4559|"C1"|10835
4560|"C1"|10992
5414|"C1"|12492
31|"D"|42
32|"D"|43
33|"D"|44
34|"D"|45
35|"D"|46
52|"D"|75
53|"D"|76
73|"D"|96
82|"D"|111
182|"D"|234
226|"D"|291
250|"D"|323
257|"D"|333
394|"D"|2488
414|"D"|2528
427|"D"|2549
454|"D"|6485
494|"D"|8501
633|"D"|8743
636|"D"|8746
652|"D"|8776
660|"D"|8803
678|"D"|8841
702|"D"|8884
742|"D"|8942
768|"D"|8996
772|"D"|9002
821|"D"|9074
831|"D"|9089
885|"D"|9187
910|"D"|9228
975|"D"|9330
1077|"D"|9493
1150|"D"|9614
1170|"D"|9658
1173|"D"|9663
1216|"D"|9749
1248|"D"|9811
1289|"D"|9880
1366|"D"|10049
1483|"D"|10313
1521|"D"|10370
1594|"D"|10477
1610|"D"|10495
1648|"D"|10537
1659|"D"|10554
1702|"D"|10605
1721|"D"|10629
1722|"D"|10630
1747|"D"|10667
1758|"D"|10681
1764|"D"|10688
1826|"D"|10753
1881|"D"|10810
1974|"D"|10910
1982|"D"|10918
1987|"D"|10924
1988|"D"|10925
2069|"D"|11019
2070|"D"|11020
2071|"D"|11021
2072|"D"|11022
2073|"D"|11024
2792|"D"|11315
2793|"D"|11314
2794|"D"|11313
3400|"D"|11297
3556|"D"|11023
3631|"D"|11517
3837|"D"|11804
3838|"D"|11805
4259|"D"|12086
4260|"D"|12087
4333|"D"|12132
4340|"D"|12137
4378|"D"|12167
4427|"D"|12207
4474|"D"|12244
4535|"D"|11607
4807|"D"|11788
5447|"D"|12514
5449|"D"|12515
5451|"D"|12517
5452|"D"|12518
5453|"D"|12519
5454|"D"|12520
5455|"D"|12521
5456|"D"|12522
5457|"D"|12523
5458|"D"|12524
124|"E1"|158
245|"E1"|316
479|"E1"|6523
517|"E1"|8536
632|"E1"|8742
740|"E1"|8939
834|"E1"|9094
876|"E1"|9169
1434|"E1"|10189
1591|"E1"|10474
1803|"E1"|10728
1948|"E1"|10880
2074|"E1"|11025
2075|"E1"|11027
2076|"E1"|11028
3472|"E1"|8640
3799|"E1"|10256
4274|"E1"|12096
4275|"E1"|12097
4323|"E1"|12126
4396|"E1"|12180
5157|"E1"|10215
5459|"E1"|12525
5460|"E1"|12526
5461|"E1"|12527
